"","region","ModerateSevere","n","n_psu_region","n_strata_region","deg_free","moes","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U"
"1",1,0.219190949917506,2651,429,9,420,0.0167855000018785,0.00357854339006445,0.00955683957406656,1.81438253017536,0.010204859403197,0.000104139155439019,0.0465569377158942,0.202454980496263,0.235926919338749
"2",2,0.193167696004622,2394,514,12,502,0.0168960974619432,0.00380354077813324,0.00954196376542111,1.8243652991487,0.0102720978846354,0.000105515994951532,0.0531770999866853,0.17632145547382,0.210013936535425
"3",3,0.188132271462092,2420,592,15,577,0.0143123015101057,0.00406573870341841,0.00769296563094457,1.29382894702934,0.0087012614834499,7.57119514033688e-05,0.0462507650379545,0.173862202629234,0.20240234029495
"4",4,0.190585485571736,2710,536,28,508,0.0130960770765102,0.00361139432546085,0.00709569439610512,1.17303554758823,0.00796184952990751,6.33910479368884e-05,0.0417757391441578,0.177528052342688,0.203642918800785
"5",5,0.187942169671518,6363,1208,67,1141,0.0102026892413789,0.00241722371598754,0.0057124154878746,1.810114030305,0.006202794628169,3.84746611992423e-05,0.0330037406666644,0.177769586481321,0.198114752861715
"6",6,0.204461891741747,4234,689,65,624,0.0140654767459181,0.00304779116514116,0.00798962053657859,2.21736457791821,0.00855120268177705,7.31230673048309e-05,0.0418229656829056,0.190437919343633,0.218485864139861
"7",7,0.207181414702884,4342,704,60,644,0.012135561075888,0.00301004508359962,0.00673594808843424,1.60707066574788,0.00737789726516866,5.44333680553832e-05,0.0356108064796699,0.195081663188008,0.219281166217761
"8",8,0.201921156358121,6054,1141,62,1079,0.0118092644187882,0.00255215707077754,0.00671059196741724,2.28028931271775,0.00717952298325485,5.15455502670846e-05,0.0355560710563754,0.190146738665583,0.213695574050659
"9",9,0.24797500056831,4015,713,64,649,0.013001626769708,0.00344136130034702,0.00711596877253701,1.47489866073673,0.00790442782061092,6.24799791712479e-05,0.0318759060489788,0.235011738942508,0.260938262194112
"10",10,0.220084773862687,3597,598,48,550,0.0134632124065683,0.00339968519220649,0.00744561724878409,1.55906693586175,0.00818505196205249,6.69950756214992e-05,0.0371904508358184,0.206661288644921,0.233508259080453
"11",11,0.188880873974298,1695,334,11,323,0.0176461115606324,0.0044762707273933,0.00974959352179728,1.39689348533411,0.0107280740799637,0.00011509157346519,0.0567980963568792,0.171286832483157,0.206474915465438
"12",12,0.151508872455417,1861,463,6,457,0.0146589254603847,0.00400160811606589,0.00796308780816154,1.22864738389905,0.00891199388212623,7.94236349550554e-05,0.0588215972945655,0.13689320248873,0.166124542422104
"13",13,0.187703700060947,13199,2190,70,2120,0.00669692267773547,0.00168496435239828,0.00370641578177853,1.56220831877566,0.00407143989471414,1.65766228162699e-05,0.0216907812333595,0.181026538633616,0.194380861488279
"14",14,0.218950400660399,2800,484,24,460,0.0156916578030597,0.00388823957508846,0.00871150628862318,1.66635013758008,0.00953985056539175,9.10087488100052e-05,0.0435708294509516,0.203305045733156,0.234595755587641
"15",15,0.214753850861014,2300,539,5,534,0.0154436398613918,0.00414717896214224,0.00842350721675687,1.28904434076012,0.00938906636331804,8.81545671747903e-05,0.04372013039894,0.199355782025172,0.230151919696856
"16",16,0.221483167487606,2276,356,42,314,0.0156819690852905,0.00428118702289639,0.00851867569487784,1.29142695763859,0.0095339602432315,9.08963979195189e-05,0.0430459811071873,0.205847472688707,0.237118862286506
