"","comuna","Severe","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"1",1101,0.042944941669212,1709,262,2,260,0.00328425253896106,0.00413268598748307,1.33961238110883,0.00527876957356647,2.78654082108111e-05,0.12291947243116,0.034287759568563,0.051602123769861,6.52290076335878,0.0614916681758898,-0.00383141762452111,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"2",1107,0.0578382502139215,768,139,1,138,0.00539245719158848,0.00808029423546158,1.64568702722955,0.00971440937446781,9.4369749494748e-05,0.167958216898643,0.0419066188397943,0.0737698815880487,5.52517985611511,0.142687594252634,-0.00724637681159424,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"3",1401,0.052324547236895,62,16,2,14,0.0187159772990444,0.0174865054963839,0.656417806963081,0.0256137791185411,0.00065606568073341,0.489517453492274,0.0103179494824876,0.0943311449913023,3.875,-0.119506849751972,-0.0666666666666667,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"4",1402,7.76632843487629e-08,25,3,1,2,4.76661110034362e-05,8.92523866678323e-08,1.02329290257008,4.76661945636573e-05,2.27206610418043e-09,613.754555493719,-7.80948958000491e-05,7.82502223687466e-05,8.33333333333333,0.00317630489592016,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"5",1404,0.0584223564469531,23,3,1,2,0.0271063574263497,0.0331000739540937,0.659852865864897,0.0427828179143391,0.00183036950869149,0.732302161642272,-0.011741464932563,0.128586177826469,7.66666666666667,-0.0510220701202654,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"6",1405,0.0379152451324709,64,6,2,4,0.0200874176173632,0.0285888052036485,2.65862458332802,0.0349402937810561,0.00122082412950651,0.921536802913427,-0.0193868366684611,0.095217326933403,10.6666666666667,0.171581853447726,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"7",2101,0.0336861145236581,1516,298,1,297,0.00311014617988284,0.00369247079021746,1.18789164497323,0.00482776861467583,2.3307349796849e-05,0.14331627980678,0.0257685739955898,0.0416036550517265,5.08724832214765,0.0459702054203801,-0.00336700336700346,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"8",2102,0.0676346234342965,53,13,1,12,0.0259409887394819,0.0262320391442642,0.934748386468116,0.0368924758514272,0.00136105477444814,0.545467306212865,0.00713096303795585,0.128138283830637,4.07692307692308,-0.0212067743978622,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"9",2103,0.106161849844021,17,3,1,2,0.0580017047770632,0.0283844182435522,0.281480094680554,0.0645745534717082,0.0041698729560705,0.608265149548401,0.000259582150419366,0.212064117537622,5.66666666666667,-0.153968551139881,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"10",2104,0.0356250825148093,67,13,2,11,0.0130687585085394,0.0201948094186979,1.39400597216963,0.0240545791152548,0.000578622776412051,0.675214691931038,-0.00382442723420853,0.0750745922638272,5.15384615384615,0.0948532895963915,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
