"Chile_CASEN2020 input data from R datafile"

"N complete non-extreme",24772
"WN complete non-extreme",24772
"N total",62911
"N Any Missing",0
"WN Any missing",0

"Item","Severity","SE severity","Infit","SE infit","Outfit","N Yes on complete non-extreme sample","Perc Yes on complete non-extreme sample"
"r8a","-2.71739328617765","0.0185966620119054","1.33799159981014","0.00898775058527437","4.95397172857093","20316","82.0119489746488"
"r8b","-1.36936712547704","0.0170188028940516","1.01793732978143","0.00895077778521798","1.50708286983403","14464","58.3885031487163"
"r8c","-1.72382906004444","0.0171070823834709","0.915282834018732","0.00888492290447413","1.13847509622944","15990","64.5486839980623"
"r8d","0.999851500462219","0.02053364845624","0.938700996515835","0.0122112046007576","0.820702071280808","5595","22.5859841756822"
"r8e","-0.763938397285945","0.0172167024506624","0.782755675937492","0.00921466181849643","0.691692849067792","11898","48.0300339092524"
"r8f","1.0702286235692","0.0207582271393842","0.989895051033198","0.0124010770089789","0.760289949823764","5397","21.7866946552559"
"r8g","1.31283255117119","0.0215938729069956","0.734734131599076","0.0131126046926634","0.474057793860457","4747","19.1627644114323"
"r8h","3.19262034124699","0.0329781821973079","0.98140547858651","0.0229745751565262","0.613133120178733","1132","4.56967544001292"

"Raw-score","Severity","Error","N cases","W cases","W cases relative"
0,-3.83242796337566,1.54471056239406,36262,36262,0.57640158318895
1,-2.93022870883507,1.18442971951587,6276,6276,0.0997599783821589
2,-1.77351309317776,0.979053519614636,4151,4151,0.0659821016992259
3,-0.89982502679414,0.93520609389456,4348,4348,0.069113509561126
4,-0.0433799342480054,0.929786041536169,3730,3730,0.0592901082481601
5,0.796008415364158,0.938186811773584,2499,2499,0.0397227829791292
6,1.77460952063198,1.01101572864738,1874,1874,0.0297881133665019
7,2.99700700950797,1.24760625071862,1894,1894,0.030106022794106
8,4.15941969932564,1.54471056239406,1877,1877,0.0298357997806425

"Reliab.",0.750059262350769
"Reliab. flat",0.769997322726497


Distribution of valid responses 
Num valid,Num cases,Pct cases,Wt cases,Wt pct,Pct if any valid,Wt pct if any valid
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,62911,100,62911,100,100,100

Missing by item if any valid
Item,Num missing,Pct missing, Wt missing, Wt pct missing
"r8a",0,0,0,0
"r8b",0,0,0,0
"r8c",0,0,0,0
"r8d",0,0,0,0
"r8e",0,0,0,0
"r8f",0,0,0,0
"r8g",0,0,0,0
"r8h",0,0,0,0

Residual correlation
"","r8b","r8c","r8d","r8e","r8f","r8g","r8h"
"r8a","-0.183385051391176","-0.224855122090333","-0.180716658943377","-0.0944758254384839","-0.136640478495766","-0.13626864506842","-0.152457427968503"
"r8b","","0.218157355900287","-0.0662458280909295","0.0262100744379413","-0.0756307750085956","-0.0568302824700647","-0.0889067738792513"
"r8c","","","0.0357052290835192","0.122209384650934","-0.0686293058607409","0.0140414721468019","-0.042310128987952"
"r8d","","","","0.133778594698918","0.00948661908981567","0.207985437650629","0.0691113666581703"
"r8e","","","","","0.10959004610674","0.166443721875848","0.0185648487948164"
"r8f","","","","","","0.225211529115936","0.0935324633266061"
"r8g","","","","","","","0.224657105307283"

############# Detailed output#############
Observed response proportion
"Raw score","r8a","r8b","r8c","r8d","r8e","r8f","r8g","r8h"
1,0.761631612492033,0.0925748884639898,0.138145315487572,0.00764818355640535,0,0,0,0
2,0.676463502770417,0.459407371717658,0.555287882437967,0.0308359431462298,0.228137798120935,0.0346904360395086,0.0122861960973259,0.00289086966995905
3,0.835096596136155,0.717111315547378,0.805657773689052,0.0752069917203312,0.420423183072677,0.101425942962282,0.0374885004599816,0.00758969641214351
4,0.901072386058981,0.853083109919571,0.885522788203753,0.193297587131367,0.834584450402145,0.20402144772118,0.108847184986595,0.0195710455764075
5,0.910364145658263,0.873149259703882,0.93797519007603,0.523409363745498,0.938775510204082,0.41656662665066,0.334933973589436,0.0648259303721489
6,0.898078975453575,0.893810032017076,0.961579509071505,0.70384204909285,0.963180362860192,0.672892209178228,0.76307363927428,0.143543223052295
7,0.938753959873284,0.960401267159451,0.985216473072862,0.920802534318902,0.981520591341077,0.923442449841605,0.982048574445618,0.307814149947202

Predicted response proportion
"Raw score","r8a","r8b","r8c","r8d","r8e","r8f","r8g","r8h"
1,0.543707798835143,0.141229440768683,0.201310348952941,0.0132125506068401,0.0770887286954282,0.0123146555140469,0.00966185955971783,0.00147461706720064
2,0.77826449254409,0.380470505132682,0.504385702055948,0.0409005256168378,0.22318728120079,0.0381557052667398,0.0300166923399126,0.00461909584300005
3,0.897313659583293,0.651224452208798,0.742597359820422,0.0943178275788545,0.445708261023865,0.0881597831331874,0.0697538934244562,0.0109247632271245
4,0.957336187628422,0.844612502018993,0.888516169166317,0.205186469786349,0.732682006831512,0.192542784041306,0.15411496719759,0.0250089133295098
5,0.98085048298143,0.927937872713111,0.948976750079519,0.444047574703846,0.871358080070036,0.420454857885607,0.345580833788432,0.0607935477780205
6,0.992102939958916,0.969763127195699,0.97874051974867,0.699934889425218,0.944945466981789,0.680053197045344,0.602490328772558,0.131969530871806
7,0.99809484114072,0.992665483031213,0.99485446359217,0.921601077594056,0.986562889966666,0.915884798512738,0.892789817176713,0.297546628985724

Observed and expected respondent infit distribution (weighted)
"Percentile","Obs infit","Pred infit","Obs outfit","Pred outfit"
0,0.226952695184801,0.226952695184801,0.0935831030351134,0.0935831030351133
1,0.226952695184801,0.226952695184801,0.0935831030351134,0.0935831030351133
2,0.226952695184801,0.226952695184801,0.0935831030351134,0.0935831030351133
3,0.226952695184801,0.226952695184801,0.0935831030351134,0.0935831030351133
4,0.226952695184801,0.226952695184801,0.0935831030351134,0.0935831030351133
5,0.226952695184801,0.226952695184801,0.0935831030351134,0.0935831030351133
6,0.226952695184801,0.226952695184801,0.172043464784854,0.172043464784854
7,0.226952695184801,0.226952695184801,0.172043464784854,0.172043464784854
8,0.226952695184801,0.235712582423572,0.172043464784854,0.172043464784854
9,0.235712582423572,0.235712582423572,0.172043464784854,0.172043464784854
10,0.235712582423572,0.235712582423572,0.172043464784854,0.172043464784854
11,0.235712582423572,0.235712582423572,0.172043464784854,0.172043464784854
12,0.235712582423572,0.235712582423572,0.172043464784854,0.172043464784854
13,0.235712582423572,0.419183350220753,0.172043464784854,0.172043464784854
14,0.419183350220753,0.419183350220753,0.172043464784854,0.172043464784854
15,0.419183350220753,0.419183350220753,0.172043464784854,0.172043464784854
16,0.419183350220753,0.419183350220753,0.172043464784854,0.172043464784854
17,0.419183350220753,0.419183350220753,0.172043464784854,0.172043464784854
18,0.419183350220753,0.419183350220753,0.172043464784854,0.172043464784854
19,0.419183350220753,0.431402113803533,0.172043464784854,0.172043464784854
20,0.419183350220753,0.431402113803533,0.172043464784854,0.177914642129073
21,0.419183350220753,0.431402113803533,0.172043464784854,0.177914642129073
22,0.419183350220753,0.431402113803533,0.172043464784854,0.177914642129073
23,0.431402113803532,0.431402113803533,0.172043464784854,0.177914642129073
24,0.431402113803532,0.431402113803533,0.172043464784854,0.177914642129073
25,0.431402113803532,0.431402113803533,0.177914642129073,0.177914642129073
26,0.431402113803532,0.431402113803533,0.177914642129073,0.177914642129073
27,0.431402113803532,0.431402113803533,0.177914642129073,0.260948562139288
28,0.431402113803532,0.431402113803533,0.177914642129073,0.260948562139288
29,0.431402113803532,0.431402113803533,0.177914642129073,0.260948562139288
30,0.431402113803532,0.431402113803533,0.177914642129073,0.260948562139288
31,0.431402113803532,0.431402113803533,0.177914642129073,0.260948562139288
32,0.431402113803532,0.431402113803533,0.177914642129073,0.260948562139288
33,0.431402113803532,0.524203869685506,0.177914642129073,0.285857476477819
34,0.431402113803532,0.524203869685506,0.260948562139288,0.285857476477819
35,0.431402113803532,0.524203869685506,0.260948562139288,0.285857476477819
36,0.431402113803532,0.524203869685506,0.260948562139288,0.285857476477819
37,0.431402113803532,0.524203869685506,0.260948562139288,0.285857476477819
38,0.431402113803532,0.524203869685506,0.260948562139288,0.285857476477819
39,0.431402113803532,0.621298409567548,0.260948562139288,0.335749479230448
40,0.431402113803532,0.621298409567548,0.260948562139288,0.335749479230448
41,0.431402113803532,0.621298409567548,0.260948562139288,0.358610682333125
42,0.524203869685506,0.647427482831468,0.285857476477819,0.358610682333125
43,0.524203869685506,0.647427482831468,0.285857476477819,0.358610682333125
44,0.524203869685506,0.667560482108834,0.285857476477819,0.383559381830112
45,0.524203869685506,0.667560482108834,0.285857476477819,0.383559381830112
46,0.524203869685506,0.787495253110328,0.285857476477819,0.417018075586346
47,0.621298409567548,0.787495253110328,0.335749479230448,0.417018075586346
48,0.621298409567548,0.787495253110328,0.358610682333125,0.417018075586346
49,0.621298409567548,0.787495253110328,0.358610682333125,0.417018075586346
50,0.647427482831468,0.787495253110328,0.358610682333125,0.417018075586346
51,0.647427482831468,0.814378144564894,0.358610682333125,0.435644729949869
52,0.667560482108834,0.821404588812041,0.383559381830112,0.466752146179094
53,0.667560482108834,0.821404588812041,0.383559381830112,0.466752146179094
54,0.787495253110328,0.830637365833464,0.417018075586346,0.472649495067427
55,0.787495253110328,0.830637365833464,0.417018075586346,0.472649495067427
56,0.787495253110328,0.830637365833464,0.417018075586346,0.482338633319603
57,0.787495253110328,0.830637365833464,0.417018075586346,0.482338633319603
58,0.814378144564893,0.866000145671561,0.435644729949869,0.482338633319603
59,0.821404588812041,0.866000145671561,0.435644729949869,0.482338633319603
60,0.821404588812041,1.0135706400356,0.466752146179094,0.633180466317537
61,0.830637365833464,1.0135706400356,0.466752146179094,0.633180466317537
62,0.830637365833464,1.12168604364095,0.472649495067426,0.680513293869476
63,0.830637365833464,1.12168604364095,0.482338633319603,0.680513293869476
64,0.866000145671561,1.32332065268006,0.482338633319603,0.680513293869476
65,0.866000145671561,1.34892297207246,0.482338633319603,0.680513293869476
66,1.0135706400356,1.36942489070751,0.633180466317536,0.680513293869476
67,1.12168604364095,1.36942489070751,0.680513293869477,0.689397326957461
68,1.12168604364095,1.37581578651352,0.680513293869477,0.689397326957461
69,1.32332065268006,1.4155702191764,0.680513293869477,0.815752959647537
70,1.32332065268006,1.47123738050468,0.680513293869477,0.815752959647537
71,1.34892297207246,1.50551302841294,0.689397326957461,0.926848818445174
72,1.36942489070752,1.50551302841294,0.689397326957461,0.955615483342307
73,1.36942489070752,1.50551302841294,0.815752959647538,0.955615483342307
74,1.36942489070752,1.50551302841294,0.815752959647538,0.955615483342307
75,1.36942489070752,1.50551302841294,0.815752959647538,0.955615483342307
76,1.4155702191764,1.50900360637252,0.926848818445173,0.969315845132735
77,1.50551302841294,1.53413913888228,0.955615483342307,1.08813221101865
78,1.50551302841294,1.58331740210719,0.955615483342307,1.21929281012718
79,1.50551302841294,1.58699643404171,0.955615483342307,1.28629067175332
80,1.50551302841294,1.65227526973288,0.969315845132735,1.32875769844088
81,1.5213466152357,1.69398861216089,1.08813221101865,1.36166103832469
82,1.58699643404171,1.69398861216089,1.28629067175332,1.38249543125387
83,1.61388924848277,1.69398861216089,1.35754673175688,1.39388256911889
84,1.69398861216089,1.69398861216089,1.39388256911889,1.61040185120012
85,1.69398861216089,1.69853734227416,1.47681711662482,1.65286887788768
86,1.6956242875048,1.70361568123814,1.65286887788768,1.70215498162883
